,step_history,vehicle_history
0,100,3
1,200,8
2,300,10
3,400,14
4,500,18
5,600,22
6,700,23
7,800,27
8,900,30
9,1000,32
10,1100,33
11,1200,35
12,1300,39
13,1400,40
14,1500,39
15,1600,42
16,1700,39
17,1800,41
18,1900,40
19,2000,40
20,2100,43
21,2200,46
22,2300,43
23,2400,42
24,2500,39
25,2600,44
26,2700,48
27,2800,50
28,2900,46
29,3000,47
30,3100,48
31,3200,50
32,3300,51
33,3400,51
34,3500,53
35,3600,56
36,3700,57
37,3800,58
38,3900,63
39,4000,55
40,4100,49
41,4200,49
42,4300,52
43,4400,51
44,4500,51
45,4600,50
46,4700,49
47,4800,50
48,4900,45
49,5000,46
50,5100,42
51,5200,44
52,5300,48
53,5400,50
54,5500,49
55,5600,52
56,5700,51
57,5800,51
58,5900,52
59,6000,50
60,6100,46
61,6200,45
62,6300,45
63,6400,46
64,6500,45
65,6600,46
66,6700,47
67,6800,46
68,6900,41
69,7000,37
70,7100,38
71,7200,41
72,7300,42
73,7400,40
74,7500,39
75,7600,36
76,7700,36
77,7800,38
78,7900,42
79,8000,45
80,8100,47
81,8200,43
82,8300,40
83,8400,37
84,8500,36
85,8600,36
86,8700,41
87,8800,44
88,8900,48
89,9000,49
90,9100,51
91,9200,45
92,9300,46
93,9400,47
94,9500,48
95,9600,49
96,9700,50
97,9800,42
98,9900,42
99,10000,42
100,10100,46
101,10200,45
102,10300,41
103,10400,36
104,10500,37
105,10600,38
106,10700,42
107,10800,45
108,10900,47
109,11000,47
110,11100,45
111,11200,46
112,11300,47
113,11400,46
114,11500,47
115,11600,45
116,11700,47
117,11800,47
118,11900,46
119,12000,47
120,12100,47
121,12200,49
122,12300,52
123,12400,53
124,12500,52
125,12600,54
126,12700,58
127,12800,48
128,12900,47
129,13000,47
130,13100,50
131,13200,53
132,13300,56
133,13400,55
134,13500,56
135,13600,57
136,13700,60
137,13800,62
138,13900,63
139,14000,63
140,14100,62
141,14200,66
142,14300,68
143,14400,67
144,14500,64
145,14600,59
146,14700,55
147,14800,55
148,14900,57
149,15000,49
150,15100,52
151,15200,49
152,15300,51
153,15400,53
154,15500,51
155,15600,51
156,15700,49
157,15800,54
158,15900,49
159,16000,46
160,16100,47
161,16200,47
162,16300,47
163,16400,48
164,16500,48
165,16600,46
166,16700,42
167,16800,46
168,16900,51
169,17000,53
170,17100,54
171,17200,57
172,17300,51
173,17400,53
174,17500,62
175,17600,64
176,17700,65
177,17800,67
178,17900,64
179,18000,59
180,18100,58
181,18200,64
182,18300,67
183,18400,63
184,18500,58
185,18600,58
186,18700,57
187,18800,58
188,18900,58
189,19000,59
190,19100,58
191,19200,61
192,19300,61
193,19400,61
194,19500,59
195,19600,56
196,19700,54
197,19800,50
198,19900,52
199,20000,53
200,20100,53
201,20200,54
202,20300,52
203,20400,46
204,20500,48
205,20600,47
206,20700,48
207,20800,50
208,20900,48
209,21000,40
210,21100,45
211,21200,47
212,21300,52
213,21400,57
214,21500,58
215,21600,55
216,21700,52
217,21800,48
218,21900,47
219,22000,48
220,22100,46
221,22200,48
222,22300,50
223,22400,52
224,22500,53
225,22600,54
226,22700,50
227,22800,47
228,22900,49
229,23000,53
230,23100,53
231,23200,55
232,23300,54
233,23400,55
234,23500,59
235,23600,59
236,23700,62
237,23800,55
238,23900,54
239,24000,56
240,24100,55
241,24200,56
242,24300,53
243,24400,56
244,24500,57
245,24600,53
246,24700,55
247,24800,52
248,24900,41
249,25000,38
250,25100,34
251,25200,36
252,25300,36
253,25400,42
254,25500,47
255,25600,46
256,25700,43
257,25800,44
258,25900,44
259,26000,49
260,26100,53
261,26200,52
262,26300,50
263,26400,53
264,26500,48
265,26600,46
266,26700,46
267,26800,43
268,26900,46
269,27000,47
270,27100,47
271,27200,47
272,27300,46
273,27400,44
274,27500,47
275,27600,45
276,27700,43
277,27800,43
278,27900,39
279,28000,37
280,28100,40
281,28200,42
282,28300,43
283,28400,41
284,28500,44
285,28600,41
286,28700,40
287,28800,39
288,28900,39
289,29000,42
290,29100,44
291,29200,46
292,29300,50
293,29400,54
294,29500,53
295,29600,51
296,29700,51
297,29800,50
298,29900,51
299,30000,50
300,30100,46
301,30200,43
302,30300,47
303,30400,51
304,30500,51
305,30600,49
306,30700,49
307,30800,49
308,30900,50
309,31000,50
310,31100,46
311,31200,42
312,31300,42
313,31400,43
314,31500,42
315,31600,45
316,31700,43
317,31800,44
318,31900,45
319,32000,48
320,32100,55
321,32200,55
322,32300,53
323,32400,48
324,32500,49
325,32600,53
326,32700,55
327,32800,51
328,32900,56
329,33000,53
330,33100,56
331,33200,57
332,33300,54
333,33400,55
334,33500,55
335,33600,54
336,33700,51
337,33800,48
338,33900,49
339,34000,52
340,34100,49
341,34200,52
342,34300,53
343,34400,52
344,34500,48
345,34600,51
346,34700,54
347,34800,55
348,34900,57
349,35000,53
350,35100,52
351,35200,54
352,35300,58
353,35400,60
354,35500,64
355,35600,62
356,35700,62
357,35800,61
358,35900,59
359,36000,60
360,36100,60
361,36200,61
362,36300,56
363,36400,57
364,36500,57
365,36600,56
366,36700,52
367,36800,48
368,36900,46
369,37000,47
370,37100,45
371,37200,46
372,37300,47
373,37400,47
374,37500,46
375,37600,45
376,37700,46
377,37800,48
378,37900,48
379,38000,46
380,38100,46
381,38200,45
382,38300,48
383,38400,48
384,38500,50
385,38600,48
386,38700,41
387,38800,43
388,38900,46
389,39000,53
390,39100,55
391,39200,52
392,39300,52
393,39400,48
394,39500,52
395,39600,55
396,39700,55
397,39800,54
398,39900,56
399,40000,57
